artist_name,listeners,tag
Paul Kalkbrenner,660758,minimal
Booka Shade,639947,minimal
Booka Shade,639947,tech house
AME,147752,deep house
AME,147752,minimal
AME,147752,tech house
Boris Brejcha,286415,minimal
Boris Brejcha,286415,tech house
The Field,360771,minimal
Lawrence,332089,minimal
Anna,239189,minimal
Pantha du Prince,312287,minimal
Max Cooper,286277,minimal
Max Cooper,286277,tech house
Gui Boratto,417985,minimal
Gui Boratto,417985,tech house
Rone,249944,minimal
Matt Sassari,417143,minimal
Matt Sassari,417143,techno
Adam Port,376909,minimal
Oliver Koletzki,328186,minimal
Kollektiv Turmstrasse,288842,minimal
Kollektiv Turmstrasse,288842,tech house
Worakls,188059,minimal
Worakls,188059,techno
Nathan Fake,356902,minimal
Guti,276809,deep house
Guti,276809,minimal
Guti,276809,tech house
NTO,187806,minimal
Fritz Kalkbrenner,255509,minimal
Extrawelt,261757,minimal
Dominik Eulberg,290009,minimal
Monolake,205112,minimal
Plastikman,241863,minimal
Stephan Bodzin,239370,minimal
Stephan Bodzin,239370,tech house
Jan Jelinek,168930,minimal
Joachim Pastor,180100,minimal
Joachim Pastor,180100,tech house
Marek Hemmann,207786,minimal
Marek Hemmann,207786,tech house
Sascha Funke,285989,minimal
Ricardo Villalobos,240132,minimal
Oliver Schories,138578,minimal
Oliver Schories,138578,tech house
Nu,184954,minimal
Nu,184954,tech house
John Tejada,191768,minimal
John Tejada,191768,tech house
&ME,148076,minimal
&ME,148076,tech house
Joris Delacroix,138927,minimal
Joris Delacroix,138927,tech house
Dusty Kid,190936,minimal
Dusty Kid,190936,tech house
Richie Hawtin,167653,minimal
Stimming,146840,minimal
Stimming,146840,tech house
Efdemin,165930,minimal
Pole,147006,minimal
Minilogue,163394,minimal
Argy,132481,minimal
Argy,132481,tech house
Claude VonStroke,233384,minimal
Claude VonStroke,233384,tech house
Super Flu,183965,minimal
Super Flu,183965,tech house
Robag Wruhme,139921,minimal
Robag Wruhme,139921,tech house
Rodriguez Jr.,144626,minimal
Rodriguez Jr.,144626,tech house
Jos,77506,minimal
Einmusik,136496,minimal
Einmusik,136496,tech house
Thomas Fehlmann,128531,minimal
Robert Babicz,162806,minimal
Robert Babicz,162806,tech house
Michael Mayer,177722,minimal
Aymen,17903,minimal
Solee,106613,minimal
Superpitcher,177539,minimal
Guy Gerber,157624,minimal
Guy Gerber,157624,tech house
Lump,93149,minimal
Catz 'n Dogz,113637,minimal
Catz 'n Dogz,113637,tech house
SCSI-9,127198,minimal
MyMy,29386,minimal
MyMy,29386,tech house
Alex Smoke,152335,minimal
Anja Schneider,147049,minimal
Anja Schneider,147049,tech house
Pan-Pot,139808,minimal
Pan-Pot,139808,tech house
Jürgen Paape,141234,minimal
Oliver Huntemann,110518,minimal
Claro Intelecto,93940,minimal
Ada,160370,minimal
Gregor Tresher,153114,minimal
Gregor Tresher,153114,techno
Gregor Tresher,153114,tech house
Be Svendsen,66161,minimal
Be Svendsen,66161,tech house
Frosty,38653,minimal
Frosty,38653,techno
Tomas Barfod,108242,minimal
Smartface,126780,minimal
Matias Aguayo,124891,minimal
Yarden,100852,minimal
Emptyset,48464,minimal
Plastic Patina,22638,minimal
Marc Romboy,127735,minimal
Marc Romboy,127735,tech house
Spektre,98692,minimal
Spektre,98692,tech house
Format:B,108791,minimal
Format:B,108791,tech house
Popof,122085,minimal
Popof,122085,tech house
Brandt Brauer Frick,66960,minimal
Nôze,107236,minimal
SND,54378,minimal
Fairmont,128724,minimal
Marko,48699,minimal
Gabriel Ananda,152882,minimal
Gabriel Ananda,152882,tech house
Mathew Jonson,136783,minimal
Dubfire,141663,minimal
Dubfire,141663,tech house
M.A.N.D.Y.,148309,minimal
Pablo Bolivar,53947,minimal
Pablo Bolivar,53947,tech house
Frank Bretschneider,52828,minimal
Loco Dice,145450,minimal
Loco Dice,145450,tech house
Akufen,102578,minimal
Johan Skugge,36037,minimal
Johan Skugge,36037,tech house
Audion,130175,minimal
Daso,80975,deep house
Daso,80975,minimal
Daso,80975,tech house
Gabe,61146,minimal
Gabe,61146,tech house
Pig & Dan,119071,minimal
Pig & Dan,119071,tech house
AKA AKA,71781,minimal
AKA AKA,71781,tech house
Steve Bug,132327,minimal
Steve Bug,132327,tech house
Farben,62969,minimal
Dirty Doering,76243,minimal
Dirty Doering,76243,tech house
Cyclo,8498,minimal
Anders Ilar,71212,minimal
MOGY,46629,minimal
Daniel Steinberg,89584,minimal
Daniel Steinberg,89584,tech house
Nhyx,35328,deep house
Nhyx,35328,minimal
Peki,7822,minimal
Frivolous,55092,minimal
Frivolous,55092,tech house
Remo,30378,minimal
Droplex,51843,minimal
Alec Troniq,57033,minimal
Alec Troniq,57033,tech house
Sascha Braemer,75100,minimal
Sascha Braemer,75100,tech house
Radio Slave,99644,minimal
Radio Slave,99644,tech house
Oscar Ortiz,34625,minimal
Oscar Ortiz,34625,techno
Beamer,74557,minimal
Beamer,74557,techno
Josh Butler,73581,minimal
Josh Butler,73581,tech house
Pedro Silva,26802,minimal
Mikkel Metal,67837,minimal
Pig&Dan,48684,minimal
Pig&Dan,48684,techno
Pig&Dan,48684,tech house
Pappelallee,1101,deep house
Pappelallee,1101,minimal
Pappelallee,1101,techno
Damian Lazarus,77333,minimal
Damian Lazarus,77333,tech house
Marc Houle,93815,minimal
Niconé,52519,minimal
Niconé,52519,tech house
Cobblestone Jazz,63089,minimal
Cobblestone Jazz,63089,tech house
Hozho,26085,minimal
Hozho,26085,techno
Stereo Express,81001,minimal
Stereo Express,81001,tech house
Betoko,74172,minimal
Betoko,74172,tech house
Ø,30087,minimal
Patrice Bäumel,78415,minimal
Patrice Bäumel,78415,tech house
Janus Rasmussen,44348,minimal
FLEX (UK),58197,minimal
FLEX (UK),58197,techno
FLEX (UK),58197,house
Matador,58264,minimal
Matador,58264,tech house
Fideles,42470,deep house
Fideles,42470,minimal
Fideles,42470,tech house
Pachanga Boys,55993,minimal
Dapayk & Padberg,71092,minimal
Dapayk & Padberg,71092,tech house
Ryan Davis,54334,minimal
Tinush,49339,minimal
Tinush,49339,tech house
Applescal,36436,minimal
Applescal,36436,techno
Gaiser,56562,minimal
Gaiser,56562,tech house
Ripperton,67576,deep house
Ripperton,67576,minimal
Ripperton,67576,tech house
Marian,50211,minimal
Marian,50211,tech house
Alfred Janders,68154,minimal
Maj,26384,minimal
Marvy,1828,minimal
Jona,55730,minimal
Jona,55730,tech house
Donnacha Costello,53353,minimal
Ramon Tapia,73059,minimal
Ramon Tapia,73059,tech house
Mees Dierdorp,33829,deep house
Mees Dierdorp,33829,minimal
aint,34013,minimal
aint,34013,house
Leif,38574,deep house
Leif,38574,minimal
Leif,38574,techno
Jaques Raupé,40082,minimal
Anonym,19180,minimal
Anonym,19180,tech house
Dop,61946,minimal
Dop,61946,tech house
Gonzi,33470,minimal
Ulysse,35429,minimal
Ulysse,35429,techno
Senking,25843,minimal
Pierre,18481,minimal
Pierre,18481,tech house
Frankie,50966,minimal
Frankie,50966,techno
Frankie,50966,tech house
Dole & Kom,48037,minimal
Dole & Kom,48037,tech house
Uusitalo,44924,minimal
Magda,61828,minimal
Kolombo,62888,minimal
Kolombo,62888,tech house
Chaton,30014,minimal
Chloé,45955,minimal
Kellerkind,48699,minimal
Estro,3971,minimal
Estro,3971,tech house
Gui.tar,24852,minimal
Alex Under,78763,minimal
Paul & Fritz Kalkbrenner,60823,minimal
Martin Buttrich,72115,minimal
Martin Buttrich,72115,tech house
Oliver Koletzki feat. Fran,58410,minimal
Andrea Oliva,69468,minimal
Andrea Oliva,69468,tech house
Thomas Brinkmann,54180,minimal
Tigerskin,76270,minimal
Tigerskin,76270,tech house
Nick Monaco,45746,minimal
Nick Monaco,45746,tech house
G-Bakamela,441,deep house
G-Bakamela,441,minimal
G-Bakamela,441,house
G-Bakamela,441,tech house
Alfred Heinrichs,23709,minimal
Alfred Heinrichs,23709,tech house
Niconé & Sascha Braemer,58277,minimal
Niconé & Sascha Braemer,58277,tech house
Philip,26636,minimal
Philip,26636,house
Goratie,70017,minimal
Clara Moto,34122,minimal
Clara Moto,34122,tech house
Heartthrob,66264,minimal
Koljah,11680,minimal
Moons,35526,minimal
Bram,30648,deep house
Bram,30648,minimal
Chaim,65825,minimal
Chaim,65825,tech house
Dave DK,35446,minimal
Dave DK,35446,tech house
Melokind,22676,minimal
1111,22463,minimal
Minz,26683,minimal
Portable,42272,minimal
Herr Lang,30513,minimal
Herr Lang,30513,techno
Luci,24724,minimal
NOVUM,22467,minimal
Bnzo,15627,deep house
Bnzo,15627,minimal
Bnzo,15627,house
Bnzo,15627,tech house
Florian Meindl,63425,minimal
Paul Ritch,62217,minimal
Paul Ritch,62217,tech house
Sian,43007,minimal
Sian,43007,tech house
Tom Demac,39809,minimal
Tom Demac,39809,tech house
AudioJack,46325,minimal
AudioJack,46325,tech house
Lake People,34019,minimal
Lake People,34019,tech house
Fax,32704,minimal
Sleeparchive,43280,minimal
R3birth,6203,deep house
R3birth,6203,minimal
R3birth,6203,techno
R3birth,6203,tech house
Klartraum,27757,minimal
Ditch,31188,minimal
Closer Musik,64157,minimal
H.O.S.H.,51242,minimal
H.O.S.H.,51242,tech house
False,46119,minimal
M.A.N.D.Y. vs. Booka Shade,72633,minimal
M.A.N.D.Y. vs. Booka Shade,72633,tech house
Judah,22030,minimal
Judah,22030,house
Carlo,49234,deep house
Carlo,49234,minimal
Chopstick & Johnjon,40479,deep house
Chopstick & Johnjon,40479,minimal
Martinez,67562,minimal
Martinez,67562,tech house
Arutani,21483,deep house
Arutani,21483,minimal
Arutani,21483,techno
Arutani,21483,house
Dapayk Solo,41898,minimal
Dapayk Solo,41898,tech house
Joachim Spieth,30041,minimal
Joachim Spieth,30041,techno
Metodi Hristov,30250,deep house
Metodi Hristov,30250,minimal
Metodi Hristov,30250,techno
Metodi Hristov,30250,tech house
Douglas Greed,36358,minimal
SIS,51834,minimal
SIS,51834,tech house
Osvaldo,38199,minimal
Christopher Schwarzwälder,24152,minimal
Leipzig,4977,minimal
Kettenkarussell,20157,minimal
Kettenkarussell,20157,techno
Kettenkarussell,20157,tech house
Seth Troxler,55915,minimal
The MFA,51936,minimal
Wolfgang Voigt,28625,minimal
Yolka,13982,minimal
Yolka,13982,techno
Yolka,13982,tech house
Seph,17848,minimal
Elektrochemie,53217,minimal
ICC,14188,minimal
Marko Fürstenberg,25388,minimal
Guillaume & The Coutu Dumonts,34501,minimal
Guillaume & The Coutu Dumonts,34501,tech house
Troy Pierce,55863,minimal
Miguel Pérez,30296,minimal
Matthias Tanzmann,54891,minimal
Matthias Tanzmann,54891,tech house
Mihalis Safras,40372,minimal
Mihalis Safras,40372,tech house
Dee Green,8076,minimal
Dee Green,8076,techno
Planète,30606,minimal
Mathias Kaden,45059,minimal
Mathias Kaden,45059,tech house
Ferdinand Dreyssig,20813,minimal
Ferdinand Dreyssig,20813,techno
Ferdinand Dreyssig,20813,tech house
Jonas Bering,45996,minimal
Piemont,46263,minimal
Piemont,46263,tech house
Reboot,44702,minimal
Reboot,44702,tech house
Santé,31094,deep house
Santé,31094,minimal
Santé,31094,tech house
Gab Rhome,25965,deep house
Gab Rhome,25965,minimal
Gab Rhome,25965,house
Sllash & Doppe,26603,minimal
Sllash & Doppe,26603,techno
Sllash & Doppe,26603,tech house
Paul Damixie,28004,minimal
Paul Damixie,28004,tech house
Ruede Hagelstein,43323,minimal
Ruede Hagelstein,43323,tech house
Cardo,17300,minimal
Théodore,14045,minimal
Frank Wiedemann,35318,deep house
Frank Wiedemann,35318,minimal
Gramm,20989,minimal
Fuckpony,37459,minimal
Elia,21126,minimal
Elia,21126,tech house
Gorje Hewek,24958,minimal
Matthias Meyer,40407,deep house
Matthias Meyer,40407,minimal
Matthias Meyer,40407,tech house
Sog,17711,minimal
Cari,18661,minimal
Cari,18661,techno
Cari,18661,tech house
Marc DePulse,26664,minimal
Marc DePulse,26664,tech house
Christopher Ferreira,34373,minimal
Dirtcaps,30465,minimal
Dirtcaps,30465,house
Shlomi Aber,45487,minimal
Shlomi Aber,45487,tech house
Ronald Christoph,21827,minimal
Ronald Christoph,21827,house
Ronald Christoph,21827,tech house
Andreas Henneberg,25973,minimal
Andreas Henneberg,25973,tech house
Lopazz,51910,minimal
Lopazz,51910,tech house
Carsten Jost,34400,minimal
Manon,13865,minimal
WPCWE,8543,minimal
Format B,27615,minimal
Format B,27615,tech house
Bruno Pronsato,27370,minimal
Supermayer,23931,minimal
Masomenos,16319,minimal
Masomenos,16319,tech house
Boss Axis,27107,minimal
ADMZ,169,deep house
ADMZ,169,minimal
D-Nox,28689,minimal
D-Nox,28689,tech house
Lemos,32824,deep house
Lemos,32824,minimal
Lemos,32824,tech house
Kaliber,24570,minimal
Raumakustik,32379,minimal
